day,temperature,humidity,rainfall,wind_speed,wind_direction,aqi
Monday,16.0,53.1,4.9,20.3,N,43
Tuesday,17.7,66.2,0.0,15.7,S,55
Wednesday,13.1,71.5,0.0,13.2,SW,61
Thursday,18.1,63.0,0.0,39.2,S,107
Friday,18.5,49.6,0.0,23.4,SE,88
Saturday,23.6,52.8,0.0,12.0,SW,53
Sunday,17.4,67.2,0.0,37.7,SW,85
Monday,13.3,68.3,0.0,30.5,S,97
Tuesday,18.9,58.2,0.0,27.9,N,74
Wednesday,17.8,56.2,0.0,34.3,SW,86
Thursday,23.6,56.6,6.5,14.6,SE,85
Friday,22.4,69.0,0.0,21.3,N,60
Saturday,19.2,68.7,0.0,17.5,S,43
Sunday,18.0,49.6,0.0,10.6,SE,83
Monday,22.6,54.7,6.8,18.2,E,89
Tuesday,16.3,56.6,0.0,34.7,NW,85
Wednesday,22.6,57.5,0.0,18.9,N,61
Thursday,16.0,58.9,0.0,37.6,S,121
Friday,16.1,66.7,0.0,20.5,E,89
Saturday,23.3,68.7,4.0,10.0,NE,87
Sunday,16.8,69.8,0.0,30.1,SW,92
Monday,15.2,59.9,0.0,29.3,W,54
Tuesday,18.8,66.1,0.0,11.2,W,68
Wednesday,22.5,61.1,0.0,25.9,SW,73
Thursday,18.9,62.5,0.0,22.0,SW,58
Friday,23.4,51.2,0.0,37.2,SE,98
Saturday,18.6,49.6,0.0,13.3,S,78
Sunday,24.8,61.8,0.0,26.6,NW,60
Monday,16.8,54.1,0.0,38.4,S,80
Tuesday,24.0,56.5,6.8,15.5,SW,65
Wednesday,20.8,63.7,0.0,19.8,NE,72
Thursday,21.9,64.9,0.0,39.4,N,89
Friday,17.5,48.1,0.0,32.4,SW,72
Saturday,18.1,60.1,0.0,10.9,E,47
Sunday,15.5,58.6,0.0,14.1,E,67
Monday,24.4,62.9,0.0,23.7,NW,82
Tuesday,21.4,70.6,3.4,31.9,E,55
Wednesday,24.3,54.5,6.1,32.6,SE,41
Thursday,22.3,59.3,0.0,15.8,SW,53
Friday,22.7,52.2,0.0,16.1,SW,39
Saturday,16.4,59.4,0.0,11.5,NE,55
Sunday,19.1,62.6,0.0,11.5,SW,61
Monday,21.1,71.0,0.0,29.0,SW,93
Tuesday,20.6,66.0,0.0,26.5,SW,95
Wednesday,19.7,68.2,0.0,14.5,S,54
Thursday,19.0,58.1,5.7,26.0,NW,66
Friday,24.3,48.5,0.0,33.4,NE,95
Saturday,17.4,56.0,0.0,13.9,SW,55
Sunday,20.5,70.4,0.0,11.0,NE,79
Monday,19.3,59.7,0.0,24.3,N,53
Tuesday,24.7,56.8,0.0,37.6,NW,103
Wednesday,25.1,49.1,0.0,30.3,NW,82
Thursday,18.1,53.0,4.1,23.5,NE,78
Friday,23.0,69.3,0.0,32.3,W,111
Saturday,22.7,62.0,0.0,12.1,E,78
Sunday,22.7,57.9,0.0,24.7,W,39
Monday,23.3,58.8,7.0,33.3,NW,63
Tuesday,24.0,57.3,0.0,19.9,NE,60
Wednesday,19.4,68.7,0.0,9.1,NE,47
Thursday,18.3,65.9,0.0,11.5,N,85
Friday,23.3,55.0,7.6,33.1,NW,60
Saturday,22.0,58.7,0.0,25.3,N,109
Sunday,19.7,60.5,0.0,13.8,NW,51
Monday,25.9,55.8,3.5,24.7,SE,63
Tuesday,20.4,72.4,0.0,12.3,NW,51
Wednesday,21.2,78.0,0.0,5.2,S,70
Thursday,20.8,57.0,0.0,22.4,N,39
Friday,23.3,74.6,0.0,18.7,SW,74
Saturday,26.3,75.4,0.0,22.8,SW,44
Sunday,26.3,71.1,0.0,12.1,E,45
Monday,26.4,72.5,26.8,10.6,S,55
Tuesday,20.3,78.2,0.0,18.4,NE,36
Wednesday,27.0,69.7,19.1,17.5,E,36
Thursday,25.2,81.3,0.0,12.4,S,30
Friday,24.3,66.0,0.0,11.1,NW,30
Saturday,25.4,66.7,0.0,10.4,W,58
Sunday,25.0,55.8,0.0,17.0,E,63
Monday,19.6,69.7,17.3,10.9,SE,61
Tuesday,19.8,60.6,2.9,11.6,S,46
Wednesday,26.0,87.6,20.8,20.8,SE,56
Thursday,24.4,70.3,0.0,20.8,W,54
Friday,24.2,62.9,0.0,23.9,N,72
Saturday,26.5,73.8,0.0,23.4,W,36
Sunday,26.7,71.1,0.0,17.0,S,35
Monday,16.2,69.5,6.2,22.5,SW,58
Tuesday,19.2,61.4,5.6,19.6,N,35
Wednesday,26.7,71.5,0.0,15.3,SW,42
Thursday,27.1,59.5,0.0,15.6,W,66
Friday,26.2,57.9,0.0,8.8,N,48
Saturday,21.6,57.8,0.0,21.9,SW,69
Sunday,23.4,75.6,10.6,8.9,N,56
Monday,17.4,89.8,19.8,22.0,S,58
Tuesday,25.2,81.6,0.0,5.8,E,38
Wednesday,27.4,66.4,9.8,13.9,W,64
Thursday,24.1,66.0,4.7,18.1,N,41
Friday,27.3,92.1,18.1,11.0,S,65
Saturday,24.4,81.5,38.8,14.1,W,67
Sunday,22.7,85.2,33.5,5.5,E,33
Monday,19.5,85.0,0.0,9.0,SW,47
Tuesday,27.3,68.0,0.0,18.4,W,40
Wednesday,23.0,65.0,0.0,9.1,SE,43
Thursday,20.8,71.9,0.0,11.6,NW,51
Friday,17.8,61.0,3.3,6.4,W,65
Saturday,27.3,62.1,7.5,7.8,SE,37
Sunday,25.9,94.6,33.1,6.7,SE,44
Monday,28.3,86.2,0.0,19.1,W,39
Tuesday,23.9,64.1,0.0,4.6,N,45
Wednesday,15.9,94.9,20.8,5.7,W,66
Thursday,24.5,75.9,0.0,14.4,W,38
Friday,24.3,81.2,21.1,9.7,NE,54
Saturday,24.0,85.7,0.0,3.0,N,34
Sunday,21.0,78.9,34.4,17.3,E,60
Monday,23.8,76.9,0.0,17.3,N,53
Tuesday,20.1,83.1,0.0,15.2,W,66
Wednesday,21.4,87.6,0.0,11.9,E,37
Thursday,27.1,74.4,0.0,18.0,N,58
Friday,22.2,77.2,0.0,8.0,N,54
Saturday,21.6,88.8,0.0,11.5,SE,58
Sunday,18.4,60.3,0.0,14.4,E,48
Monday,22.5,78.0,0.0,10.0,SE,53
Tuesday,25.2,86.3,11.0,6.7,NW,48
Wednesday,20.7,83.1,25.3,12.1,SE,30
Thursday,24.6,94.0,10.4,15.9,SE,42
Friday,22.2,83.0,0.0,3.8,W,47
Saturday,23.2,88.3,23.5,12.1,SE,58
Sunday,22.3,87.7,0.0,7.3,W,53
Monday,21.8,69.8,0.0,7.4,NE,38
Tuesday,18.2,68.5,25.3,11.8,N,47
Wednesday,20.9,70.6,0.0,10.0,N,38
Thursday,16.7,91.7,30.0,3.0,E,37
Friday,18.0,86.3,0.0,12.7,E,48
Saturday,26.3,81.0,14.8,12.5,SE,33
Sunday,22.2,81.6,25.4,15.4,E,57
Monday,22.4,68.3,36.9,3.4,W,42
Tuesday,17.6,83.9,36.0,11.5,N,41
Wednesday,26.0,73.0,0.0,5.0,SE,32
Thursday,23.8,87.1,0.0,15.0,S,29
Friday,20.4,79.2,0.0,11.8,NE,38
Saturday,21.2,74.4,0.0,14.8,E,38
Sunday,19.7,85.2,36.3,14.6,NE,51
Monday,18.8,90.0,20.6,6.9,SE,59
Tuesday,23.1,76.0,0.0,3.7,NW,56
Wednesday,20.3,66.9,0.0,17.2,SE,42
Thursday,24.2,76.7,0.0,15.9,SE,64
Friday,19.6,60.5,0.0,4.4,N,44
Saturday,25.2,91.1,34.8,12.6,N,41
Sunday,25.1,84.2,0.0,9.6,SE,53
Monday,19.0,80.2,14.6,12.3,NW,29
Tuesday,20.6,62.5,0.0,14.9,NE,63
Wednesday,21.2,87.5,36.9,11.7,SE,36
Thursday,24.4,84.3,33.2,5.9,NW,39
Friday,22.8,92.3,34.1,18.8,N,54
Saturday,23.8,77.6,0.0,8.1,E,64
Sunday,20.3,70.8,0.0,6.5,NW,52
Monday,20.3,63.8,0.0,14.6,W,67
Tuesday,28.8,69.9,0.0,22.4,W,53
Wednesday,28.4,51.3,0.0,15.2,NE,53
Thursday,20.6,70.9,0.0,5.6,SW,52
Friday,26.9,48.4,0.0,10.5,E,39
Saturday,28.9,56.9,8.1,14.5,E,74
Sunday,26.7,57.4,0.0,6.3,N,44
Monday,30.6,52.8,0.0,16.4,NW,68
Tuesday,25.4,70.4,0.0,16.8,S,43
Wednesday,19.2,66.2,0.0,19.8,SW,40
Thursday,22.3,71.5,0.0,9.7,N,56
Friday,23.1,67.5,0.0,22.7,N,42
Saturday,23.0,70.0,0.0,9.6,W,85
Sunday,25.7,52.0,1.4,25.4,N,87
Monday,18.7,65.3,12.6,6.3,N,82
Tuesday,26.6,51.7,2.2,26.1,N,69
Wednesday,28.4,54.5,0.0,16.6,E,60
Thursday,27.1,64.6,0.0,15.2,W,41
Friday,19.9,59.1,0.0,6.4,W,56
Saturday,17.9,67.0,0.0,22.5,NW,60
Sunday,23.8,61.1,0.0,22.0,NW,49
Monday,26.8,61.7,0.0,15.2,E,83
Tuesday,25.1,83.1,12.0,7.3,S,81
Wednesday,20.7,48.1,0.0,15.7,SE,60
Thursday,24.6,54.7,0.0,27.9,E,86
Friday,29.1,68.2,0.0,7.5,S,40
Saturday,27.5,55.9,0.0,26.4,S,102
Sunday,29.7,69.3,0.0,22.9,SE,75
Monday,22.2,65.5,0.0,20.5,S,41
Tuesday,21.0,61.0,0.0,21.7,S,50
Wednesday,28.0,50.6,0.0,5.2,NW,57
Thursday,23.9,55.5,0.0,21.6,N,80
Friday,22.9,45.8,0.0,9.5,SW,52
Saturday,32.8,49.7,5.0,8.2,N,40
Sunday,25.6,59.2,0.0,14.8,W,84
Monday,27.0,56.0,0.0,13.8,NE,85
Tuesday,21.0,49.1,0.0,18.9,E,56
Wednesday,23.6,63.9,0.0,8.7,NW,56
Thursday,23.9,68.3,0.0,17.8,NE,73
Friday,25.9,54.9,0.0,10.3,E,89
Saturday,28.5,68.2,0.0,6.8,W,57
Sunday,22.8,67.0,0.0,5.5,SE,78
Monday,27.6,45.9,2.8,13.4,SW,44
Tuesday,29.1,49.0,0.0,17.9,SW,45
Wednesday,18.7,51.5,0.0,22.7,SE,70
Thursday,24.8,48.5,0.0,21.6,SW,76
Friday,26.1,68.7,0.6,7.3,NW,89
Saturday,19.7,53.1,0.0,11.3,N,63
Sunday,23.2,62.7,0.0,9.3,N,63
Monday,29.1,60.3,0.0,21.9,E,46
Tuesday,18.9,58.7,0.0,15.7,NE,53
Wednesday,29.2,47.5,3.5,19.5,NE,82
Thursday,27.1,61.6,0.0,15.0,NE,52
Friday,20.7,49.1,0.0,22.8,W,77
Saturday,26.1,67.9,0.0,19.0,NE,89
Sunday,25.7,50.8,0.0,13.3,SE,61
Monday,18.4,57.7,0.0,24.7,SW,87
Tuesday,23.4,68.8,0.0,16.0,W,58
Wednesday,26.9,48.1,0.0,10.4,N,42
Thursday,26.3,61.0,0.0,21.1,E,88
Friday,21.9,53.5,0.0,20.2,E,42
Saturday,26.9,62.1,0.0,19.5,NW,40
Sunday,30.6,71.4,0.0,20.0,E,86
Monday,20.9,47.2,0.0,17.0,SW,73
Tuesday,25.6,49.3,4.1,13.5,SW,85
Wednesday,27.8,51.1,7.7,23.9,SW,68
Thursday,26.4,49.9,0.0,24.0,E,50
Friday,23.8,51.5,0.0,6.0,NW,47
Saturday,26.7,60.5,0.0,15.8,N,91
Sunday,23.5,48.9,1.3,12.8,S,65
Monday,27.3,57.5,0.0,6.4,SW,67
Tuesday,28.5,56.3,0.0,13.9,W,53
Wednesday,19.2,46.3,0.0,25.2,E,88
Thursday,23.5,62.2,0.0,28.0,SE,70
Friday,22.3,51.2,0.0,21.0,E,87
Saturday,30.0,66.6,0.0,23.6,S,83
Sunday,25.6,48.9,0.0,13.9,SE,94
Monday,24.8,65.2,0.0,20.7,N,68
Tuesday,20.6,60.3,0.0,10.3,S,41
Wednesday,20.2,49.8,0.0,11.1,NW,42
Thursday,24.8,66.8,0.0,11.8,W,47
Friday,22.3,62.1,0.0,17.7,SE,75
Saturday,21.6,51.5,0.0,13.1,E,83
Sunday,21.8,68.4,0.0,22.2,NW,51
Monday,31.8,48.3,0.0,8.4,W,64
Tuesday,25.3,71.0,0.0,19.7,SE,41
Wednesday,24.1,45.3,0.0,8.5,NE,42
Thursday,28.7,59.3,6.1,23.7,S,94
Friday,27.9,49.5,0.0,9.9,NW,81
Saturday,29.4,57.7,0.0,11.1,SE,74
Sunday,22.0,88.8,24.5,11.5,N,51
Monday,23.8,67.8,0.0,11.7,NE,49
Tuesday,20.6,79.8,16.5,12.7,SE,35
Wednesday,25.1,97.0,30.0,17.5,NW,41
Thursday,25.1,75.6,0.0,7.7,SE,41
Friday,26.4,77.1,23.1,3.1,NW,38
Saturday,27.6,74.2,34.0,16.5,SE,62
Sunday,19.4,91.5,34.8,4.9,E,56
Monday,23.4,90.5,20.7,12.5,W,50
Tuesday,21.3,72.4,0.0,15.9,SW,37
Wednesday,17.3,98.0,35.3,9.2,E,60
Thursday,23.4,73.6,31.1,15.5,NE,61
Friday,24.8,75.4,34.9,9.8,SW,53
Saturday,27.8,75.4,6.0,16.1,SW,37
Sunday,29.7,87.9,15.5,10.8,W,47
Monday,28.4,65.4,0.0,10.7,S,45
Tuesday,24.7,89.9,29.5,7.9,S,49
Wednesday,20.7,87.1,30.5,9.8,S,41
Thursday,28.0,69.1,0.0,4.1,E,48
Friday,29.1,65.8,3.0,5.5,N,34
Saturday,20.7,81.3,0.0,16.1,S,58
Sunday,24.8,84.0,7.8,11.0,SW,56
Monday,25.0,70.1,0.0,11.8,W,35
Tuesday,20.8,74.6,17.0,14.5,SE,64
Wednesday,23.5,68.5,0.0,5.2,W,36
Thursday,21.4,74.8,0.0,7.9,N,69
Friday,18.7,88.8,37.5,9.8,SE,53
Saturday,28.3,81.2,31.8,6.9,E,52
Sunday,24.3,72.9,0.0,3.2,SW,45
Monday,21.4,82.3,0.0,6.5,W,42
Tuesday,28.7,70.6,0.0,11.5,SE,66
Wednesday,18.6,85.9,0.0,12.9,W,44
Thursday,22.8,94.9,43.5,9.3,N,33
Friday,22.8,78.5,37.8,2.7,NW,43
Saturday,22.9,80.9,0.0,11.7,SE,42
Sunday,28.0,73.6,29.4,3.9,N,38
Monday,18.1,88.0,0.0,13.8,S,49
Tuesday,17.9,85.2,0.0,4.4,N,41
Wednesday,21.2,87.0,0.0,8.7,E,53
Thursday,18.7,92.3,26.6,4.1,E,27
Friday,26.8,82.6,24.0,9.0,W,48
Saturday,24.9,76.5,30.9,5.9,W,56
Sunday,20.1,77.4,20.3,7.5,SW,43
Monday,20.0,94.2,31.9,3.0,NW,59
Tuesday,18.2,83.4,32.2,12.5,E,53
Wednesday,26.0,76.4,6.9,3.2,SW,38
Thursday,27.5,96.2,30.9,14.9,N,60
Friday,22.5,86.2,24.1,9.3,W,27
Saturday,27.3,73.9,12.1,13.5,SW,49
Sunday,19.6,66.0,9.7,2.1,W,57
Monday,25.6,75.9,38.2,8.4,E,28
Tuesday,25.5,92.5,9.4,4.1,S,54
Wednesday,23.4,72.6,15.9,13.6,SE,55
Thursday,27.3,90.5,29.9,2.8,N,39
Friday,22.2,86.5,28.2,14.4,SW,59
Saturday,20.9,70.9,0.0,4.3,NW,55
Sunday,24.7,89.1,51.0,3.5,SE,52
Monday,21.2,98.0,52.6,8.1,W,63
Tuesday,24.4,75.4,18.7,5.3,NE,50
Wednesday,20.2,80.3,36.8,7.4,S,40
Thursday,24.9,92.8,8.4,8.9,NE,45
Friday,16.8,98.0,11.4,10.2,NW,33
Saturday,18.4,86.2,42.3,9.5,NE,53
Sunday,24.3,88.1,37.6,10.9,W,54
Monday,20.5,79.7,14.7,11.8,NE,30
Tuesday,22.0,83.8,28.2,15.8,E,28
Wednesday,16.6,80.3,11.7,14.5,N,48
Thursday,20.6,88.1,0.0,9.3,E,44
Friday,19.8,70.6,3.4,17.4,NE,48
Saturday,18.1,94.6,34.0,11.1,E,67
Sunday,18.8,88.7,17.2,10.3,W,45
Monday,21.5,83.9,23.6,12.9,S,43
Tuesday,26.5,83.2,42.6,12.8,N,54
Wednesday,19.8,76.9,0.0,12.7,S,66
Thursday,25.0,78.2,0.0,5.5,NW,29
Friday,25.0,73.5,41.4,15.0,N,58
Saturday,24.0,82.5,0.0,12.6,NE,57
Sunday,19.8,88.1,0.0,11.3,W,50
Monday,25.1,87.7,36.8,16.9,NW,57
Tuesday,19.6,70.2,7.5,15.6,SW,66
Wednesday,17.9,72.4,43.5,13.4,S,29
Thursday,18.2,83.5,6.5,3.4,W,51
Friday,19.3,77.7,0.0,9.7,N,66
Saturday,27.2,78.0,0.0,11.0,SW,49
Sunday,22.8,68.1,0.0,8.1,S,28
Monday,25.4,94.6,11.9,10.6,W,64
Tuesday,18.4,90.8,0.0,12.0,E,47
Wednesday,26.1,84.7,0.0,8.2,N,48
Thursday,26.8,72.0,0.0,8.6,E,45
Friday,15.6,83.1,6.2,5.5,S,30
Saturday,25.3,76.4,30.6,7.1,NE,48
Sunday,23.1,73.5,0.0,10.9,W,57
Monday,15.4,53.7,0.0,18.5,NW,54
Tuesday,17.0,56.7,0.0,10.8,NE,36
Wednesday,19.0,73.1,0.0,19.3,SE,72
Thursday,19.3,67.5,0.0,13.2,E,52
Friday,24.1,60.1,0.0,11.4,N,62
Saturday,14.9,70.7,1.9,9.2,SW,72
Sunday,23.3,50.7,0.0,9.4,W,65
Monday,18.4,69.2,0.0,31.0,SE,106
Tuesday,24.7,63.9,5.9,28.6,N,57
Wednesday,21.3,56.6,8.0,18.6,NW,58
Thursday,21.6,58.4,0.0,19.1,S,82
Friday,17.1,53.6,0.0,27.0,NE,55
Saturday,24.4,74.9,0.0,23.2,SW,40
Sunday,24.3,65.1,4.1,21.4,NW,75
Monday,17.2,63.7,0.0,32.2,W,111
Tuesday,16.3,66.3,0.0,32.8,NE,66
Wednesday,25.2,74.7,0.0,34.5,E,49
Thursday,24.2,53.7,0.0,19.6,NW,77
Friday,25.5,69.0,0.0,23.2,E,78
Saturday,23.2,58.2,0.0,31.9,SE,74
Sunday,24.1,73.1,0.0,13.3,NE,79
Monday,22.9,74.9,0.0,26.3,E,54
Tuesday,18.2,62.8,0.0,8.0,N,66
Wednesday,18.4,71.7,0.0,32.5,NW,110
Thursday,15.6,54.7,0.0,22.4,SW,35
Friday,20.2,70.3,10.9,16.4,N,38
Saturday,17.0,53.5,2.5,17.7,S,47
Sunday,22.5,67.8,0.0,16.9,S,40
Monday,19.5,58.6,0.0,16.0,W,35
Tuesday,23.3,52.3,6.6,29.9,S,84
Wednesday,19.9,57.1,0.0,25.5,NW,94
Thursday,17.6,68.8,0.0,30.1,SE,90
Friday,16.2,71.3,0.0,32.2,NE,98
Saturday,20.2,56.2,0.0,20.9,W,64
Sunday,21.8,49.9,0.0,33.5,E,65
Monday,21.7,58.0,0.0,34.6,SW,82
Tuesday,21.0,71.6,0.0,38.7,S,97
Wednesday,19.7,68.4,0.0,23.4,S,45
Thursday,20.8,71.5,0.0,35.2,NE,55
Friday,16.2,52.3,0.0,26.4,SW,120
Saturday,21.9,60.1,0.2,10.7,SE,87
Sunday,20.8,61.2,0.0,12.4,NE,43
Monday,22.9,62.3,2.4,13.4,SW,47
Tuesday,17.7,52.6,0.0,31.4,NW,102
Wednesday,21.7,70.7,0.0,12.7,N,45
Thursday,15.2,58.3,0.0,35.1,SW,78
Friday,19.8,62.4,0.0,16.1,NE,83
Saturday,22.6,56.0,1.3,15.9,NE,44
Sunday,17.9,52.4,0.0,21.1,S,69
Monday,21.7,61.5,0.0,18.3,W,52
Tuesday,22.4,62.2,0.0,31.2,W,90
Wednesday,24.0,48.8,0.0,24.0,SE,88
Thursday,14.1,60.0,0.0,21.6,SE,53
Friday,22.6,57.4,0.0,13.7,E,71
Saturday,22.5,53.3,0.0,25.0,W,68
Sunday,19.3,53.5,0.0,20.7,NE,44
Monday,20.2,52.2,0.0,33.7,E,100
Tuesday,21.0,63.0,0.0,24.9,SE,75
Wednesday,18.4,64.6,0.0,29.1,S,86
Thursday,21.8,55.3,0.0,35.3,S,74
Friday,19.1,58.8,0.0,17.7,SW,82
Saturday,16.9,57.0,0.0,19.9,W,66
Sunday,22.7,64.7,0.0,36.4,SW,106
Monday,15.9,50.5,0.0,28.8,W,98
Tuesday,15.5,70.0,0.0,26.9,SE,100
Wednesday,18.0,50.4,0.0,11.9,E,67
Thursday,20.4,65.2,7.5,21.5,NE,71
Friday,20.9,50.9,0.0,36.5,NW,73
Saturday,19.4,59.1,0.0,37.2,NW,65
Sunday,15.7,61.7,0.0,37.6,NE,79
Monday,23.2,50.0,0.0,12.2,E,59
Tuesday,18.5,63.6,4.1,13.7,SE,50
Wednesday,19.6,55.5,0.0,25.8,N,51
Thursday,22.9,59.0,0.0,18.1,SE,65
Friday,26.0,60.4,0.0,14.0,W,64
Saturday,24.2,58.5,3.1,13.5,N,64
Sunday,15.4,48.4,0.0,24.4,NE,77
Monday,17.6,58.2,0.0,37.1,SE,62
Tuesday,19.9,58.9,4.2,18.8,W,42
Wednesday,23.2,49.9,0.0,11.2,N,83
Thursday,24.2,61.9,0.0,34.3,W,101
Friday,23.1,62.7,5.4,24.9,W,74
Saturday,17.4,72.7,2.5,15.9,N,55
Sunday,23.2,54.5,0.0,34.2,SW,61
Monday,19.0,63.3,0.0,18.2,SW,37
Tuesday,17.5,72.6,0.0,15.2,NW,80
Wednesday,22.8,71.6,0.0,10.2,W,69
Thursday,18.3,67.1,8.6,35.1,E,62
Friday,21.9,61.6,6.5,10.7,E,44
Saturday,23.3,56.7,0.0,18.1,NW,80
Sunday,22.1,51.5,8.2,33.6,NE,78
Monday,19.6,49.9,0.0,10.1,NW,54
Tuesday,18.5,70.3,0.0,10.1,W,45
Wednesday,20.8,77.1,0.0,5.6,E,40
Thursday,24.4,55.3,1.3,8.8,N,71
Friday,28.3,58.6,3.9,5.6,E,52
Saturday,24.5,86.3,24.6,16.2,W,65
Sunday,26.7,77.1,10.0,20.7,S,48
Monday,24.5,58.8,9.9,22.1,E,42
Tuesday,23.0,81.6,0.0,22.7,SE,33
Wednesday,19.8,61.9,0.0,5.1,N,51
Thursday,23.0,69.1,0.0,18.6,N,70
Friday,23.0,58.6,0.0,11.8,NW,51
Saturday,23.8,70.1,0.0,6.7,S,71
Sunday,19.2,68.8,10.6,10.2,NW,37
Monday,22.2,60.9,0.0,20.2,S,65
Tuesday,27.4,75.3,9.8,10.0,NW,71
Wednesday,16.7,65.5,0.0,7.5,SW,34
Thursday,29.6,73.7,0.0,18.7,N,55
Friday,26.0,59.1,9.8,12.5,SE,74
Saturday,21.7,68.4,0.0,19.6,NW,59
Sunday,20.0,68.6,0.0,18.5,NE,68
Monday,27.0,61.8,21.5,13.2,SE,51
Tuesday,23.4,76.8,0.0,19.8,SW,55
Wednesday,19.7,67.1,0.0,16.0,NE,51
Thursday,22.3,70.3,6.9,9.8,NW,37
Friday,25.1,64.0,0.0,5.9,SE,49
Saturday,26.5,73.4,0.0,16.5,NW,33
